نوع عملیات,SKU,نام محصول,وضعیت,توضیحات
آپدیت والد,,کفشور استیل مدل 600,موفق,ID: 6228
آپدیت وارییشن,140001000000681,کفشور استیل مدل 600,موفق,ID: 6230
آپدیت والد,,کفشور استیل مدل 7000,موفق,ID: 6232
آپدیت وارییشن,140001000000719,کفشور استیل مدل 7000,موفق,ID: 6234
آپدیت وارییشن,140001000000720,کفشور استیل مدل 7000,موفق,ID: 6236
آپدیت وارییشن,140001000000721,کفشور استیل مدل 7000,موفق,ID: 6238
آپدیت والد,,کفشور استیل مدل 1001,موفق,ID: 6240
آپدیت وارییشن,140001000000722,کفشور استیل مدل 1001,موفق,ID: 6242
آپدیت وارییشن,140001000000723,کفشور استیل مدل 1001,موفق,ID: 6244
آپدیت وارییشن,140001000000724,کفشور استیل مدل 1001,موفق,ID: 6246
آپدیت وارییشن,140001000000725,کفشور استیل مدل 1001,موفق,ID: 6248
آپدیت وارییشن,140001000000726,کفشور استیل مدل 1001,موفق,ID: 6250
آپدیت وارییشن,140001000000727,کفشور استیل مدل 1001,موفق,ID: 6252
آپدیت وارییشن,140001000000728,کفشور استیل مدل 1001,موفق,ID: 6254
آپدیت والد,,کفشور استیل مدل 1005,موفق,ID: 6256
آپدیت وارییشن,140001000000729,کفشور استیل مدل 1005,موفق,ID: 6258
آپدیت وارییشن,140001000000730,کفشور استیل مدل 1005,موفق,ID: 6260
آپدیت وارییشن,140001000000731,کفشور استیل مدل 1005,موفق,ID: 6262
آپدیت والد,,کفشور استیل مدل 1530,موفق,ID: 6264
آپدیت وارییشن,140001000000732,کفشور استیل مدل 1530,موفق,ID: 6266
آپدیت والد,,کفشور استیل مدل 2002,موفق,ID: 6268
آپدیت وارییشن,140001000000733,کفشور استیل مدل 2002,موفق,ID: 6270
آپدیت وارییشن,140001000000734,کفشور استیل مدل 2002,موفق,ID: 6272
آپدیت وارییشن,140001000000735,کفشور استیل مدل 2002,موفق,ID: 6274
آپدیت والد,,کفشور استیل مدل 2004,موفق,ID: 6276
آپدیت وارییشن,140001000000736,کفشور استیل مدل 2004,موفق,ID: 6278
آپدیت والد,,کفشور استیل مدل 302,موفق,ID: 6280
آپدیت وارییشن,140001000000737,کفشور استیل مدل 302,موفق,ID: 6282
آپدیت وارییشن,140001000000738,کفشور استیل مدل 302,موفق,ID: 6284
آپدیت وارییشن,140001000000739,کفشور استیل مدل 302,موفق,ID: 6286
آپدیت وارییشن,140001000000740,کفشور استیل مدل 302,موفق,ID: 6288
آپدیت وارییشن,140001000000741,کفشور استیل مدل 302,موفق,ID: 6290
آپدیت والد,,کفشور استیل مدل 360,موفق,ID: 6292
آپدیت وارییشن,140001000000742,کفشور استیل مدل 360,موفق,ID: 6294
آپدیت وارییشن,140001000000743,کفشور استیل مدل 360,موفق,ID: 6296
آپدیت وارییشن,140001000000744,کفشور استیل مدل 360,موفق,ID: 6298
آپدیت وارییشن,140001000000745,کفشور استیل مدل 360,موفق,ID: 6300
آپدیت وارییشن,140001000000746,کفشور استیل مدل 360,موفق,ID: 6302
آپدیت والد,,کفشور استیل مدل 602,موفق,ID: 6304
آپدیت وارییشن,140001000000747,کفشور استیل مدل 602,موفق,ID: 6306
آپدیت وارییشن,140001000000748,کفشور استیل مدل 602,موفق,ID: 6308
آپدیت وارییشن,140001000000749,کفشور استیل مدل 602,موفق,ID: 6310
آپدیت وارییشن,140001000000750,کفشور استیل مدل 602,موفق,ID: 6312
آپدیت والد,,کفشور استیل مدل 660,موفق,ID: 6314
آپدیت وارییشن,140001000000751,کفشور استیل مدل 660,موفق,ID: 6316
آپدیت وارییشن,140001000000752,کفشور استیل مدل 660,موفق,ID: 6318
آپدیت وارییشن,140001000000753,کفشور استیل مدل 660,موفق,ID: 6320
آپدیت وارییشن,140001000000754,کفشور استیل مدل 660,موفق,ID: 6322
آپدیت وارییشن,140001000000755,کفشور استیل مدل 660,موفق,ID: 6324
آپدیت والد,,کفشور استیل مدل 460,موفق,ID: 6326
آپدیت وارییشن,140001000000756,کفشور استیل مدل 460,موفق,ID: 6328
ایجاد والد,,سینک استیل آبشاری,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000777.webp. ایراد: Not Found', 'data': {'status': 400}}"
آپدیت والد,,سینک استیل پیانویی 7 کلید,موفق,ID: 6330
آپدیت وارییشن,140001000000779,سینک استیل پیانویی 7 کلید,موفق,ID: 6332
آپدیت والد,,سینک استیل پیانویی 5 کلید,موفق,ID: 6334
آپدیت وارییشن,140001000000780,سینک استیل پیانویی 5 کلید,موفق,ID: 6336
ایجاد وارییشن,140001000001601,سینک استیل پیانویی 5 کلید,خطا,"{'code': 'woocommerce_variation_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001601.webp. ایراد: Not Found', 'data': {'status': 400}}"
آپدیت والد,,دوش استیل پیانویی,موفق,ID: 6338
آپدیت وارییشن,140001000000942,دوش استیل پیانویی,موفق,ID: 6340
آپدیت وارییشن,140001000000945,دوش استیل پیانویی,موفق,ID: 6342
آپدیت وارییشن,140001000000946,دوش استیل پیانویی,موفق,ID: 6344
آپدیت وارییشن,140001000001587,دوش استیل پیانویی,موفق,ID: 6346
ایجاد والد,,جای دستمال استیل مدل k06,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000950.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,جای دستمال استیل مدل k13,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000951.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,جای دستمال استیل مدل k11,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000963.webp. ایراد: Not Found', 'data': {'status': 400}}"
آپدیت والد,,رخت آویز استیل حمام CT80,موفق,ID: 6348
آپدیت وارییشن,140001000000976,رخت آویز استیل حمام CT80,موفق,ID: 6350
ایجاد وارییشن,140001000000978,رخت آویز استیل حمام CT80,خطا,"{'code': 'woocommerce_variation_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000978.webp. ایراد: Not Found', 'data': {'status': 400}}"
آپدیت وارییشن,140001000001588,رخت آویز استیل حمام CT80,موفق,ID: 6352
ایجاد والد,,رخت آویز استیل حمام 5800,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000977.webp. ایراد: Not Found', 'data': {'status': 400}}"
آپدیت والد,,سرویس حمام استیل دو طبقه 310,موفق,ID: 6366
ایجاد وارییشن,140001000000979,سرویس حمام استیل دو طبقه 310,خطا,"{'code': 'product_invalid_sku', 'message': 'SKU تکراری یا نامعتبر است.', 'data': {'status': 400, 'resource_id': 6356, 'unique_sku': '140001000000979-1'}}"
ایجاد وارییشن,140001000001595,سرویس حمام استیل دو طبقه 310,خطا,"{'code': 'product_invalid_sku', 'message': 'SKU تکراری یا نامعتبر است.', 'data': {'status': 400, 'resource_id': 6358, 'unique_sku': '140001000001595-1'}}"
ایجاد والد,,سرویس حمام استیل دو طبقه مستطیل,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000980.webp. ایراد: Not Found', 'data': {'status': 400}}"
آپدیت والد,,سرویس حمام استیل دو طبقه کنج,موفق,ID: 6376
ایجاد وارییشن,140001000000983,سرویس حمام استیل دو طبقه کنج,خطا,"{'code': 'product_invalid_sku', 'message': 'SKU تکراری یا نامعتبر است.', 'data': {'status': 400, 'resource_id': 6362, 'unique_sku': '140001000000983-1'}}"
ایجاد وارییشن,140001000000984,سرویس حمام استیل دو طبقه کنج,خطا,"{'code': 'product_invalid_sku', 'message': 'SKU تکراری یا نامعتبر است.', 'data': {'status': 400, 'resource_id': 6364, 'unique_sku': '140001000000984-1'}}"
ایجاد وارییشن,140001000000994,سرویس حمام استیل دو طبقه کنج,خطا,"{'code': 'woocommerce_variation_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000994.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد وارییشن,140001000000995,سرویس حمام استیل دو طبقه کنج,خطا,"{'code': 'woocommerce_variation_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000995.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد وارییشن,140001000000996,سرویس حمام استیل دو طبقه کنج,خطا,"{'code': 'woocommerce_variation_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000996.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد وارییشن,140001000001597,سرویس حمام استیل دو طبقه کنج,خطا,"{'code': 'woocommerce_variation_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001597.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,رخت آویز استیل حمام CT82,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001589.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,رخت آویز استیل حمام 6500,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001590.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,سرویس حمام استیل دو طبقه 2-310,موفق,ID: 6446
ایجاد وارییشن,140001000001596,سرویس حمام استیل دو طبقه 2-310,خطا,"{'code': 'product_invalid_sku', 'message': 'SKU تکراری یا نامعتبر است.', 'data': {'status': 400, 'resource_id': 6368, 'unique_sku': '140001000001596-1'}}"
آپدیت والد,,سرویس حمام استیل دو طبقه کنج 2602,موفق,ID: 6370
آپدیت وارییشن,140001000001598,سرویس حمام استیل دو طبقه کنج 2602,موفق,ID: 6372
آپدیت وارییشن,140001000001599,سرویس حمام استیل دو طبقه کنج 2602,موفق,ID: 6374
ایجاد والد,,سرویس حمام استیل کنج سه طبقه 2903,موفق,ID: 6451
ایجاد وارییشن,140001000001600,سرویس حمام استیل کنج سه طبقه 2903,خطا,"{'code': 'product_invalid_sku', 'message': 'SKU تکراری یا نامعتبر است.', 'data': {'status': 400, 'resource_id': 6378, 'unique_sku': '140001000001600-1'}}"
ایجاد والد,,شلنگ توالت فشاری مک,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001603.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,جامایع استیل فشاری سیتی مارکت,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001741.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,علم دوش استیل یونیورست مک,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001774.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,,خطا,دسته‌بندی یافت نشد
