Product ID,Product Name,Old Type,New Type,Status,Message
5469,کفشور استیل مدل 7000,simple,variable,موفق,
5012,سرویس حمام استیل کنج سه طبقه 2903,variable,variable,رد شد,از قبل variable بود
5006,سرویس حمام استیل دو طبقه کنج 2602,variable,variable,رد شد,از قبل variable بود
5002,سرویس حمام استیل دو طبقه 2-310,variable,variable,رد شد,از قبل variable بود
4996,سرویس حمام استیل دو طبقه کنج,variable,variable,رد شد,از قبل variable بود
4990,سرویس حمام استیل دو طبقه 310,variable,variable,رد شد,از قبل variable بود
4984,رخت آویز استیل حمام CT80,variable,variable,رد شد,از قبل variable بود
4974,دوش استیل پیانویی,variable,variable,رد شد,از قبل variable بود
4970,سینک استیل پیانویی 5 کلید,variable,variable,رد شد,از قبل variable بود
4966,سینک استیل پیانویی 7 کلید,variable,variable,رد شد,از قبل variable بود
4962,کفشور استیل مدل 460,variable,variable,رد شد,از قبل variable بود
4950,کفشور استیل مدل 660,variable,variable,رد شد,از قبل variable بود
4940,کفشور استیل مدل 602,variable,variable,رد شد,از قبل variable بود
4928,کفشور استیل مدل 360,variable,variable,رد شد,از قبل variable بود
4918,کفشور استیل مدل 302,variable,variable,رد شد,از قبل variable بود
4914,کفشور استیل مدل 2004,variable,variable,رد شد,از قبل variable بود
4906,کفشور استیل مدل 2002,variable,variable,رد شد,از قبل variable بود
4902,کفشور استیل مدل 1530,variable,variable,رد شد,از قبل variable بود
4894,کفشور استیل مدل 1005,variable,variable,رد شد,از قبل variable بود
4878,کفشور استیل مدل 1001,variable,variable,رد شد,از قبل variable بود
4866,کفشور استیل مدل 600,variable,variable,رد شد,از قبل variable بود
